Be-9(n,2n) ENDF/B-VII.1
Energy(eV) XS(b)
1.74883E+06 0.00000
1.80000E+06 0.000100000
1.90000E+06 0.000866700
2.00000E+06 0.00220000
2.10000E+06 0.00440000
2.20000E+06 0.00800000
2.30000E+06 0.0130000
2.40000E+06 0.0180000
2.50000E+06 0.0230000
2.60000E+06 0.0280000
2.65000E+06 0.0305000
2.70000E+06 0.0330000
2.71000E+06 0.0448500
2.72000E+06 0.0567000
2.73000E+06 0.0685500
2.74000E+06 0.0804000
2.75000E+06 0.0922500
2.76000E+06 0.104100
2.77000E+06 0.115950
2.80000E+06 0.151500
2.90000E+06 0.270000
3.00000E+06 0.320000
3.10000E+06 0.370000
3.20000E+06 0.398500
3.30000E+06 0.427000
3.40000E+06 0.447500
3.50000E+06 0.468000
3.60000E+06 0.478500
3.70000E+06 0.489000
3.80000E+06 0.499500
3.90000E+06 0.510000
4.00000E+06 0.514250
4.10000E+06 0.518500
4.20000E+06 0.522750
4.30000E+06 0.527000
4.40000E+06 0.529600
4.50000E+06 0.532200
4.60000E+06 0.534800
4.70000E+06 0.537400
4.80000E+06 0.540000
4.90000E+06 0.541667
5.00000E+06 0.543333
5.10000E+06 0.545000
5.20000E+06 0.546667
5.30000E+06 0.548333
5.40000E+06 0.550000
5.50000E+06 0.551400
5.90000E+06 0.557000
6.00000E+06 0.557182
6.25000E+06 0.557636
6.45000E+06 0.558000
6.50000E+06 0.558091
7.00000E+06 0.559000
7.10000E+06 0.558400
7.50000E+06 0.556000
8.00000E+06 0.553000
8.40000E+06 0.550600
9.00000E+06 0.547000
9.10000E+06 0.546000
9.50000E+06 0.542000
1.00000E+07 0.537000
1.07000E+07 0.530000
1.10000E+07 0.526250
1.16085E+07 0.518644
1.16085E+07 0.518644
1.20000E+07 0.513750
1.21400E+07 0.512000
1.21400E+07 0.512000
1.25000E+07 0.507500
1.30000E+07 0.501250
1.31000E+07 0.500000
1.33000E+07 0.496897
1.36000E+07 0.492241
1.40000E+07 0.486035
1.42660E+07 0.481908
1.42660E+07 0.481907
1.45000E+07 0.478276
1.46500E+07 0.475948
1.50000E+07 0.470517
1.52000E+07 0.467414
1.56500E+07 0.460431
1.59500E+07 0.455776
1.60000E+07 0.455000
1.63008E+07 0.449436
1.63008E+07 0.449435
1.65000E+07 0.445750
1.65500E+07 0.444825
1.67000E+07 0.442050
1.69500E+07 0.437425
1.70000E+07 0.436500
1.71000E+07 0.434650
1.73500E+07 0.430025
1.78500E+07 0.420775
1.80000E+07 0.418000
1.82000E+07 0.413700
1.85000E+07 0.407250
1.89000E+07 0.398650
1.90000E+07 0.396500
1.95000E+07 0.385750
2.00000E+07 0.375000
