Be-9(n,a) ENDF/B-VII.1
Energy(eV) XS(b)
667153 0.00000
670000 7.81533E-07
675000 2.15428E-06
680000 3.52703E-06
685000 4.89978E-06
690000 6.27252E-06
695000 7.64527E-06
700000 9.01802E-06
705000 1.03908E-05
710000 1.17635E-05
715000 1.31363E-05
720000 1.45090E-05
725000 1.58818E-05
730000 1.72545E-05
735000 1.86273E-05
740000 2.00000E-05
745000 2.87500E-05
750000 3.75000E-05
755000 4.62500E-05
760000 5.50000E-05
765000 6.37500E-05
770000 7.25000E-05
775000 8.12500E-05
780000 9.00000E-05
785000 9.87500E-05
790000 0.000107500
795000 0.000116250
800000 0.000125000
801000 0.000126750
802000 0.000128500
803000 0.000130250
804000 0.000132000
805000 0.000133750
806000 0.000135500
807000 0.000137250
808000 0.000139000
809000 0.000140750
810000 0.000142500
811000 0.000144250
812000 0.000146000
813000 0.000147750
814000 0.000149500
815000 0.000151250
816000 0.000153000
817000 0.000154750
818000 0.000156500
819000 0.000158250
820000 0.000160000
825000 0.000168750
830000 0.000177500
835000 0.000186250
840000 0.000195000
845000 0.000203750
860000 0.000230000
870000 0.000247500
880000 0.000265000
890000 0.000282500
900000 0.000300000
950000 0.000500000
1.00000E+06 0.000700000
1.05000E+06 0.00100000
1.10000E+06 0.00170000
1.15000E+06 0.00280000
1.20000E+06 0.00400000
1.30000E+06 0.00707700
1.40000E+06 0.0112900
1.50000E+06 0.0160000
1.60000E+06 0.0218000
1.74883E+06 0.0304321
1.74883E+06 0.0304323
1.80000E+06 0.0334000
1.90000E+06 0.0392000
2.00000E+06 0.0450000
2.10000E+06 0.0533333
2.20000E+06 0.0616667
2.30000E+06 0.0700000
2.40000E+06 0.0783333
2.50000E+06 0.0866667
2.60000E+06 0.0950000
2.65000E+06 0.0975000
2.70000E+06 0.100000
2.71000E+06 0.100500
2.72000E+06 0.101000
2.73000E+06 0.101500
2.74000E+06 0.102000
2.75000E+06 0.102500
2.76000E+06 0.103000
2.77000E+06 0.103500
2.80000E+06 0.105000
2.90000E+06 0.105000
3.00000E+06 0.105000
3.10000E+06 0.103000
3.20000E+06 0.101000
3.30000E+06 0.0990000
3.40000E+06 0.0970000
3.50000E+06 0.0950000
3.60000E+06 0.0930000
3.70000E+06 0.0910000
3.80000E+06 0.0890000
3.90000E+06 0.0870000
4.00000E+06 0.0850000
4.10000E+06 0.0830000
4.20000E+06 0.0810000
4.30000E+06 0.0790000
4.40000E+06 0.0770000
4.50000E+06 0.0750000
4.60000E+06 0.0730000
4.70000E+06 0.0710000
4.80000E+06 0.0690000
4.90000E+06 0.0670000
5.00000E+06 0.0650000
5.10000E+06 0.0632000
5.20000E+06 0.0614000
5.30000E+06 0.0596000
5.40000E+06 0.0578000
5.50000E+06 0.0560000
5.90000E+06 0.0496000
6.00000E+06 0.0480000
6.25000E+06 0.0440000
6.45000E+06 0.0416000
6.50000E+06 0.0410000
7.00000E+06 0.0350000
7.10000E+06 0.0342500
7.50000E+06 0.0312500
8.00000E+06 0.0275000
8.40000E+06 0.0253000
9.00000E+06 0.0220000
9.10000E+06 0.0216750
9.50000E+06 0.0203750
1.00000E+07 0.0187500
1.07000E+07 0.0164750
1.10000E+07 0.0155000
1.16085E+07 0.0140802
1.16085E+07 0.0140802
1.20000E+07 0.0131667
1.21400E+07 0.0128401
1.21400E+07 0.0128401
1.25000E+07 0.0120000
1.30000E+07 0.0115000
1.31000E+07 0.0114000
1.33000E+07 0.0112000
1.36000E+07 0.0109000
1.40000E+07 0.0105000
1.42660E+07 0.0102340
1.42660E+07 0.0102340
1.45000E+07 0.0100000
1.46500E+07 0.00986364
1.50000E+07 0.00954546
1.52000E+07 0.00936364
1.56500E+07 0.00895455
1.59500E+07 0.00868182
1.60000E+07 0.00863636
1.63008E+07 0.00836293
1.63008E+07 0.00836292
1.65000E+07 0.00818182
1.65500E+07 0.00813636
1.67000E+07 0.00800000
1.69500E+07 0.00777273
1.70000E+07 0.00772727
1.71000E+07 0.00763636
1.73500E+07 0.00740909
1.78500E+07 0.00695455
1.80000E+07 0.00681818
1.82000E+07 0.00663636
1.85000E+07 0.00636364
1.89000E+07 0.00600000
1.90000E+07 0.00590909
1.95000E+07 0.00545455
2.00000E+07 0.00500000
